2026-02-02 23:51:51 | S1: 78 locuri (balance=7800.00) | S2: 68 locuri (balance=13600.00) | S3: 82 locuri (balance=12300.00) | Total balance=33700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:56 | S1: 79 locuri (balance=7900.00) | S2: 69 locuri (balance=13800.00) | S3: 82 locuri (balance=12300.00) | Total balance=34000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:01 | S1: 79 locuri (balance=7900.00) | S2: 69 locuri (balance=13800.00) | S3: 82 locuri (balance=12300.00) | Total balance=34000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:06 | S1: 80 locuri (balance=8000.00) | S2: 69 locuri (balance=13800.00) | S3: 82 locuri (balance=12300.00) | Total balance=34100.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:11 | S1: 80 locuri (balance=8000.00) | S2: 72 locuri (balance=14400.00) | S3: 83 locuri (balance=12450.00) | Total balance=34850.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:16 | S1: 80 locuri (balance=8000.00) | S2: 73 locuri (balance=14600.00) | S3: 86 locuri (balance=12900.00) | Total balance=35500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:21 | S1: 80 locuri (balance=8000.00) | S2: 78 locuri (balance=15600.00) | S3: 86 locuri (balance=12900.00) | Total balance=36500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:26 | S1: 80 locuri (balance=8000.00) | S2: 79 locuri (balance=15800.00) | S3: 86 locuri (balance=12900.00) | Total balance=36700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:31 | S1: 80 locuri (balance=8000.00) | S2: 79 locuri (balance=15800.00) | S3: 86 locuri (balance=12900.00) | Total balance=36700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:36 | S1: 80 locuri (balance=8000.00) | S2: 80 locuri (balance=16000.00) | S3: 87 locuri (balance=13050.00) | Total balance=37050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:41 | S1: 80 locuri (balance=8000.00) | S2: 80 locuri (balance=16000.00) | S3: 87 locuri (balance=13050.00) | Total balance=37050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:46 | S1: 80 locuri (balance=8000.00) | S2: 80 locuri (balance=16000.00) | S3: 88 locuri (balance=13200.00) | Total balance=37200.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:51 | S1: 80 locuri (balance=8000.00) | S2: 80 locuri (balance=16000.00) | S3: 88 locuri (balance=13200.00) | Total balance=37200.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:56 | S1: 80 locuri (balance=8000.00) | S2: 81 locuri (balance=16200.00) | S3: 90 locuri (balance=13500.00) | Total balance=37700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:01 | S1: 80 locuri (balance=8000.00) | S2: 81 locuri (balance=16200.00) | S3: 90 locuri (balance=13500.00) | Total balance=37700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:06 | S1: 80 locuri (balance=8000.00) | S2: 81 locuri (balance=16200.00) | S3: 90 locuri (balance=13500.00) | Total balance=37700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:11 | S1: 81 locuri (balance=8100.00) | S2: 81 locuri (balance=16200.00) | S3: 91 locuri (balance=13650.00) | Total balance=37950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:16 | S1: 81 locuri (balance=8100.00) | S2: 81 locuri (balance=16200.00) | S3: 91 locuri (balance=13650.00) | Total balance=37950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:21 | S1: 81 locuri (balance=8100.00) | S2: 81 locuri (balance=16200.00) | S3: 91 locuri (balance=13650.00) | Total balance=37950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:26 | S1: 81 locuri (balance=8100.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:31 | S1: 81 locuri (balance=8100.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:36 | S1: 81 locuri (balance=8100.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:41 | S1: 81 locuri (balance=8100.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:46 | S1: 82 locuri (balance=8200.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38250.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:51 | S1: 82 locuri (balance=8200.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38250.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:53:51 | S1: 82 locuri (balance=8200.00) | S2: 82 locuri (balance=16400.00) | S3: 91 locuri (balance=13650.00) | Total balance=38250.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
