2025-06-28 00:42:06 INFO  org.hibernate.validator.internal.util.Version 21 <clinit> - HV000001: Hibernate Validator 8.0.1.Final
2025-06-28 00:42:06 INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting StartRestServices using Java 17.0.15 with PID 44316 (D:\GithubRepositories\CS-UBB-FMI-INFO\2nd Year\2nd Semester\MPP\sesiune\Memory-game\REST\build\classes\java\main started by emicu in D:\GithubRepositories\CS-UBB-FMI-INFO\2nd Year\2nd Semester\MPP\sesiune\Memory-game)
2025-06-28 00:42:06 INFO  org.springframework.boot.SpringApplication 654 logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
2025-06-28 00:42:06 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 143 registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-28 00:42:06 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 211 registerRepositoriesIn - Finished Spring Data repository scanning in 12 ms. Found 0 JPA repository interfaces.
2025-06-28 00:42:06 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 109 initialize - Tomcat initialized with port 8080 (http)
2025-06-28 00:42:07 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 296 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 958 ms
2025-06-28 00:42:07 INFO  org.hibernate.jpa.internal.util.LogHelper 31 logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-28 00:42:07 INFO  org.hibernate.Version 44 logVersion - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-06-28 00:42:07 INFO  org.hibernate.cache.internal.RegionFactoryInitiator 50 initiateService - HHH000026: Second-level cache disabled
2025-06-28 00:42:07 INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo 87 addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-28 00:42:07 INFO  com.zaxxer.hikari.HikariDataSource 110 getConnection - HikariPool-1 - Starting...
2025-06-28 00:42:07 INFO  com.zaxxer.hikari.pool.HikariPool 565 checkFailFast - HikariPool-1 - Added connection org.sqlite.jdbc4.JDBC4Connection@5c25d0d1
2025-06-28 00:42:07 INFO  com.zaxxer.hikari.HikariDataSource 123 getConnection - HikariPool-1 - Start completed.
2025-06-28 00:42:07 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator 58 initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-28 00:42:07 INFO  org.springframework.orm.jpa.AbstractEntityManagerFactoryBean 437 buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-28 00:42:08 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration 232 openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-28 00:42:08 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 241 start - Tomcat started on port 8080 (http) with context path ''
2025-06-28 00:42:08 INFO  org.springframework.boot.StartupInfoLogger 56 logStarted - Started StartRestServices in 2.574 seconds (process running for 3.576)
2025-06-28 00:42:08 INFO  rest.StartRestServices 18 main - [INFO] A pornit!!!
2025-06-28 00:42:18 INFO  org.springframework.web.servlet.FrameworkServlet 532 initServletBean - Initializing Servlet 'dispatcherServlet'
2025-06-28 00:42:18 INFO  org.springframework.web.servlet.FrameworkServlet 554 initServletBean - Completed initialization in 1 ms
2025-06-28 00:48:54 INFO  org.springframework.orm.jpa.AbstractEntityManagerFactoryBean 650 destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-06-28 00:48:54 INFO  com.zaxxer.hikari.HikariDataSource 350 close - HikariPool-1 - Shutdown initiated...
2025-06-28 00:48:54 INFO  com.zaxxer.hikari.HikariDataSource 352 close - HikariPool-1 - Shutdown completed.
2025-06-28 00:48:57 INFO  rest.StartRestServices 15 main - [INFO] Acum pornim aplicatia din rest...
2025-06-28 00:48:57 INFO  org.hibernate.validator.internal.util.Version 21 <clinit> - HV000001: Hibernate Validator 8.0.1.Final
